iter	Passed	Remaining
524	27488	24870
525	27546	24823
526	27605	24776
527	27661	24727
528	27714	24675
529	27769	24625
530	27819	24571
531	27863	24511
532	27912	24456
533	27963	24402
534	28010	24345
535	28067	24297
536	28115	24241
537	28167	24188
538	28220	24136
539	28271	24082
540	28327	24033
541	28375	23977
542	28425	23923
543	28476	23869
544	28527	23816
545	28574	23759
546	28628	23709
547	28683	23658
548	28728	23600
549	28786	23552
550	28840	23501
551	28891	23448
552	28945	23397
553	28999	23345
554	29051	23293
555	29114	23249
556	29174	23203
557	29226	23150
558	29277	23096
559	29335	23048
560	29386	22995
561	29433	22939
562	29481	22883
563	29536	22833
564	29593	22784
565	29641	22728
566	29696	22677
567	29748	22625
568	29801	22573
569	29853	22520
570	29909	22471
571	29960	22417
572	30018	22370
573	30069	22316
574	30124	22266
575	30182	22217
576	30240	22169
577	30293	22117
578	30344	22063
579	30397	22011
580	30451	21960
581	30508	21911
582	30555	21855
583	30607	21802
584	30658	21749
585	30712	21698
586	30770	21649
587	30823	21597
588	30878	21546
589	30929	21493
590	30988	21445
591	31037	21390
592	31088	21337
593	31141	21285
594	31195	21234
595	31254	21185
596	31313	21137
597	31364	21084
598	31415	21031
599	31466	20977
600	31521	20926
601	31569	20871
602	31620	20817
603	31676	20767
604	31728	20715
605	31782	20663
606	31836	20612
607	31888	20559
608	31940	20506
609	31993	20454
610	32049	20404
611	32105	20354
612	32157	20302
613	32209	20248
614	32262	20196
615	32312	20143
616	32361	20088
617	32406	20031
618	32457	19978
619	32513	19927
620	32569	19877
621	32622	19825
622	32677	19774
623	32730	19722
624	32779	19667
625	32829	19613
626	32880	19560
627	32933	19508
628	32990	19458
629	33045	19407
630	33104	19358
631	33156	19306
632	33208	19253
633	33264	19203
634	33316	19150
635	33370	19099
636	33421	19045
637	33475	18993
638	33528	18942
639	33584	18891
640	33652	18847
641	33703	18794
642	33756	18742
643	33805	18687
644	33854	18633
645	33907	18580
646	33958	18527
647	34015	18477
648	34070	18426
649	34119	18372
650	34190	18329
651	34253	18282
652	34308	18231
653	34359	18177
654	34419	18129
655	34476	18079
656	34525	18024
657	34577	17972
658	34635	17922
659	34688	17869
660	34740	17816
661	34796	17765
662	34846	17712
663	34903	17661
664	34958	17610
665	35017	17561
666	35070	17508
667	35123	17456
668	35174	17403
669	35227	17350
670	35284	17300
671	35338	17248
672	35393	17197
673	35452	17147
674	35504	17094
675	35556	17041
676	35609	16989
677	35656	16934
678	35712	16883
679	35764	16830
680	35823	16780
681	35876	16728
682	35923	16673
683	35979	16622
684	36034	16570
685	36083	16516
686	36135	16463
687	36186	16410
688	36233	16355
689	36291	16304
690	36353	16256
691	36418	16209
692	36473	16157
693	36536	16109
694	36597	16060
695	36657	16011
696	36725	15965
697	36787	15916
698	36850	15868
699	36917	15821
700	36981	15773
701	37033	15720
702	37083	15666
703	37133	15612
704	37185	15559
705	37236	15506
706	37289	15453
707	37342	15401
708	37395	15348
709	37446	15294
710	37501	15243
711	37550	15188
712	37607	15138
713	37669	15089
714	37728	15038
715	37781	14986
716	37843	14936
717	37896	14884
718	37954	14833
719	38007	14780
720	38059	14727
721	38114	14675
722	38168	14623
723	38214	14568
724	38268	14515
725	38321	14463
726	38378	14411
727	38432	14359
728	38487	14307
729	38547	14257
730	38601	14204
731	38657	14153
732	38715	14102
733	38770	14050
734	38822	13997
735	38873	13943
736	38928	13891
737	38982	13839
738	39036	13786
739	39088	13733
740	39143	13681
741	39197	13629
742	39251	13576
743	39302	13523
744	39361	13472
745	39414	13419
746	39470	13368
747	39522	13315
748	39571	13261
749	39619	13206
750	39674	13154
751	39722	13099
752	39770	13045
753	39819	12991
754	39872	12938
755	39925	12886
756	39982	12834
757	40037	12782
758	40089	12729
759	40140	12675
760	40196	12623
761	40246	12570
762	40298	12517
763	40352	12465
764	40400	12410
765	40453	12357
766	40506	12305
767	40561	12252
768	40613	12200
769	40664	12146
770	40720	12094
771	40772	12041
772	40825	11988
773	40874	11934
774	40923	11881
775	40981	11829
776	41039	11778
777	41092	11725
778	41145	11672
779	41192	11618
780	41248	11566
781	41298	11512
782	41353	11460
783	41404	11407
784	41459	11355
785	41513	11302
786	41570	11250
787	41624	11198
788	41677	11145
789	41735	11094
790	41785	11040
791	41838	10987
792	41889	10934
793	41944	10882
794	41999	10830
795	42048	10776
796	42106	10724
797	42157	10671
798	42213	10619
799	42269	10567
800	42323	10514
801	42375	10461
802	42424	10407
803	42472	10354
804	42524	10301
805	42576	10248
806	42628	10195
807	42685	10143
808	42734	10089
809	42788	10036
810	42840	9983
811	42888	9929
812	42938	9876
813	42986	9822
814	43043	9770
815	43098	9718
816	43153	9665
817	43211	9614
818	43263	9561
819	43320	9509
820	43373	9456
821	43424	9403
822	43475	9350
823	43529	9297
824	43580	9244
825	43631	9191
826	43686	9138
827	43737	9085
828	43795	9033
829	43850	8981
830	43903	8928
831	43959	8876
832	44012	8823
833	44064	8770
834	44118	8717
835	44172	8665
836	44226	8612
837	44278	8559
838	44327	8506
839	44389	8455
840	44439	8401
841	44489	8348
842	44546	8296
843	44600	8243
844	44656	8191
845	44710	8138
846	44763	8085
847	44810	8032
848	44863	7979
849	44917	7926
850	44970	7873
851	45022	7820
852	45075	7767
853	45126	7714
854	45184	7662
855	45248	7611
856	45298	7558
857	45353	7506
858	45409	7453
859	45458	7400
860	45513	7347
861	45564	7294
862	45621	7242
863	45672	7189
864	45729	7136
865	45780	7083
866	45836	7031
867	45890	6978
868	45944	6926
869	46003	6874
870	46056	6821
871	46110	6768
872	46160	6715
873	46209	6661
874	46259	6608
875	46311	6555
876	46363	6502
877	46418	6449
878	46473	6397
879	46527	6344
880	46583	6292
881	46638	6239
882	46689	6186
883	46742	6133
884	46800	6081
885	46852	6028
886	46919	5977
887	46976	5924
888	47036	5872
889	47091	5820
890	47152	5768
891	47208	5715
892	47262	5663
893	47320	5610
894	47369	5557
895	47421	5504
896	47480	5452
897	47533	5399
898	47589	5346
899	47647	5294
900	47707	5241
901	47769	5190
902	47832	5138
903	47888	5085
904	47954	5033
905	48017	4981
906	48067	4928
907	48118	4875
908	48185	4823
909	48252	4772
910	48316	4720
911	48379	4668
912	48437	4615
913	48497	4563
914	48556	4510
915	48606	4457
916	48664	4404
917	48720	4351
918	48778	4299
919	48830	4246
920	48884	4193
921	48946	4140
922	49005	4088
923	49058	4035
924	49112	3982
925	49167	3929
926	49217	3875
927	49274	3823
928	49329	3770
929	49388	3717
930	49444	3664
